,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales
0,1,10849,26,2006.0,10,359,41.49,29.02,3.77,8.46
1,2,9201,11,1985.0,4,359,29.08,3.58,6.81,0.77
2,3,5493,26,2008.0,6,359,15.85,12.88,3.79,3.31
3,4,10851,26,2009.0,10,359,15.75,11.01,3.28,2.96
4,5,7247,5,1996.0,7,359,11.27,8.89,10.22,1.0
5,6,9581,5,1989.0,5,359,23.2,2.26,4.22,0.58
6,7,6632,4,2006.0,4,359,11.38,9.23,6.5,2.9
7,8,10847,26,2006.0,3,359,14.03,9.2,2.93,2.85
8,9,6635,26,2009.0,4,359,14.59,7.06,4.7,2.26
9,10,2541,11,1984.0,8,359,26.93,0.63,0.28,0.47
10,11,6698,4,2005.0,9,359,9.07,11.0,1.93,2.75
11,12,5492,4,2005.0,6,359,9.81,7.57,4.13,1.92
12,13,7234,5,1999.0,7,359,9.0,6.18,7.2,0.71
13,14,10841,26,2007.0,10,359,8.94,8.03,3.6,2.15
14,15,10842,26,2009.0,10,359,9.09,8.59,2.53,1.79
15,16,4841,28,2010.0,3,323,14.97,4.94,0.24,1.67
16,17,3650,17,2013.0,0,493,7.01,9.27,0.97,4.14
17,18,3654,16,2004.0,0,493,9.43,0.4,0.41,10.57
18,19,9215,23,1990.0,4,359,12.78,3.75,3.54,0.55
19,20,989,4,2005.0,3,359,4.75,9.26,4.16,2.05
20,21,7232,4,2006.0,7,359,6.42,4.52,6.04,1.37
21,22,9208,5,1989.0,4,359,10.83,2.71,4.18,0.42
22,23,9203,11,1988.0,4,359,9.54,3.44,3.84,0.46
23,24,3650,28,2013.0,0,493,9.63,5.31,0.06,1.38
24,25,3655,16,2002.0,0,493,8.41,5.49,0.47,1.78
25,26,7248,6,2002.0,7,359,6.06,3.9,5.38,0.5
26,27,7226,4,2010.0,7,359,5.57,3.28,5.65,0.82
27,28,987,4,2005.0,5,359,3.44,5.36,5.32,1.18
28,29,3631,16,2001.0,6,455,6.85,5.09,1.87,1.16
29,30,1210,28,2011.0,8,21,9.03,4.28,0.13,1.32
30,31,7270,5,1998.0,7,359,5.89,5.04,3.12,0.59
31,32,1204,28,2010.0,8,21,9.67,3.73,0.11,1.13
32,33,7255,2,2013.0,7,359,5.17,4.05,4.34,0.79
33,34,1205,18,2015.0,8,21,5.77,5.81,0.35,2.31
34,35,1206,17,2012.0,8,21,4.99,5.88,0.65,2.52
35,36,1206,28,2012.0,8,21,8.25,4.3,0.07,1.12
36,37,1209,28,2009.0,8,21,8.52,3.63,0.08,1.29
37,38,1210,17,2011.0,8,21,5.54,5.82,0.49,1.62
38,39,3648,16,2001.0,0,493,6.99,4.51,0.3,1.3
39,40,9288,26,2008.0,2,359,6.75,2.61,2.66,1.02
40,41,1204,17,2010.0,8,21,5.98,4.44,0.48,1.83
